Parent,Index
0,0
1,1
10,2
11,3
12,4
12-EthanediolEthyleneglycolProductionexport,5
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport,6
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport,7
13,8
13-PropanediolProductionexport,9
14,10
147,11
148,12
153,13
16,14
17,15
18,16
182,17
19,18
2,19
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport,20
2-methylbutyrate2-methylbutanoicacidConsumptionimport,21
21,22
22,23
228,24
24,25
272,26
29,27
3,28
30,29
37,30
39,31
4,32
4-Aminobenzoatepara-aminoBenzoicacidConsumptionimport,33
4-AminobutyrateGABAConsumptionimport,34
4-AminobutyrateGABAProductionexport,35
49,36
5,37
6,38
60,39
7,40
89,41
9,42
AcetateConsumptionimport,43
AcetateConsumptionimportproductionexport,44
AcetateProductionexport,45
AcetoneProductionexport,46
Acidaminococcus,47
Acinetobacter,48
Actinomyces,49
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,50
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimportproductionexport,51
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIProductionexport,52
Aeromonas,53
Agathobacter,54
Aggregatibacter,55
Akkermansia,56
AlginateMacromoleculedegradation,57
Aliarcobacter,58
Alicycliphilus,59
Alistipes,60
Allomeiothermus,61
Alloprevotella,62
Amedibacillus,63
Anaerobutyricum,64
Anaerococcus,65
Anaerofustis,66
Anaerostipes,67
Anaerotruncus,68
ArabinogalactanMacromoleculedegradation,69
Azotobacter,70
Bacillus,71
Bacteroides,72
BetaineGlycinebetaineConsumptionimport,73
BicarbonateHCO3-H2CO3CarbonicacidCarbonateConsumptionimport,74
Bifidobacterium,75
Bilophila,76
BiotinVitaminB7Consumptionimport,77
BiotinVitaminB7Productionexport,78
Blautia,79
Brachyspira,80
Brevibacterium,81
Bulleidia,82
ButanolConsumptionimport,83
ButylamineProductionexport,84
ButyrateConsumptionimport,85
ButyrateProductionexport,86
Butyrivibrio,87
CO2Consumptionimport,88
CO2Consumptionimportproductionexport,89
CO2Productionexport,90
CadaverineProductionexport,91
Campylobacter,92
Candidatus Phytoplasma,93
Capnocytophaga,94
Cardiobacterium,95
Catonella,96
CellobioseConsumptionimport,97
CellotetraoseCellohexaoseCellopentaoseCellotrioseConsumptionimport,98
CelluloseBeta-D-glucanMacromoleculedegradation,99
ChenodeoxycholicacidChenodeoxycholateConsumptionimport,100
ChenodeoxycholicacidChenodeoxycholateConsumptionimportproductionexport,101
ChenodeoxycholicacidChenodeoxycholateProductionexport,102
ChitinMacromoleculedegradation,103
CholicacidCholateConsumptionimport,104
CholicacidCholateConsumptionimportproductionexport,105
CholicacidCholateProductionexport,106
CholineConsumptionimport,107
Chondroitin4-sulfateChondroitin6-sulfateMacromoleculedegradation,108
CitrateConsumptionimport,109
Citrobacter,110
Clostridium,111
Collinsella,112
Comamonas,113
Coprobacillus,114
Coprococcus,115
Corynebacterium,116
Cronobacter,117
Cryptobacterium,118
Cutibacterium,119
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,120
D-FructoseFructoseConsumptionimport,121
D-FructuronateConsumptionimport,122
D-GalactosamineGalactosamineConsumptionimport,123
D-GalactoseConsumptionimport,124
D-GalacturonateConsumptionimport,125
D-GluconateD-GluconicacidGluconateConsumptionimport,126
D-GlucosamineGlucosamineConsumptionimport,127
D-GlucoseGlucoseConsumptionimport,128
D-GlucuronicacidD-GlucuronateConsumptionimport,129
D-LyxoseL-LyxoseConsumptionimport,130
D-MannitolMannitolConsumptionimport,131
D-MannoseMannoseConsumptionimport,132
D-PsicoseConsumptionimport,133
D-RiboseRiboseConsumptionimport,134
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,135
D-TagatoseConsumptionimport,136
D-TagaturonateConsumptionimport,137
D-TuranoseConsumptionimport,138
D-XyloseXyloseConsumptionimport,139
DNARNAPolynucleotideMacromoleculedegradation,140
Delftia,141
DeoxycholicacidProductionexport,142
Desulfovibrio,143
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,144
Dialister,145
Diaphorobacter,146
Dickeya,147
DimethylamineConsumptionimport,148
DimethylamineProductionexport,149
Dorea,150
Dysgonomonas,151
Edwardsiella,152
Eggerthella,153
Enhydrobacter,154
Enterobacter,155
Enterocloster,156
Enterococcus,157
ErythritolConsumptionimport,158
Escherichia,159
EthanolConsumptionimport,160
EthanolProductionexport,161
Eubacterium,162
FOSFructooligosaccharideConsumptionimport,163
Faecalibacterium,164
Faecalitalea,165
Fannyhessea,166
Filifactor,167
Finegoldia,168
FolicacidFolateVitaminB9Consumptionimport,169
FolicacidFolateVitaminB9Consumptionimportproductionexport,170
FolicacidFolateVitaminB9Productionexport,171
FormaldehydeConsumptionimport,172
FormaldehydeProductionexport,173
FormateConsumptionimport,174
FormateConsumptionimportproductionexport,175
FormateProductionexport,176
FructanInulinLevanMacromoleculedegradation,177
Fructilactobacillus,178
Fusobacterium,179
GalactanMacromoleculedegradation,180
Gardnerella,181
Gemella,182
GlycerolConsumptionimport,183
GlycochenodeoxycholateConsumptionimport,184
GlycocholateConsumptionimport,185
GlycodeoxycholateConsumptionimport,186
GlycolithocholateConsumptionimport,187
Granulicatella,188
H2HydrogenConsumptionimport,189
H2HydrogenConsumptionimportproductionexport,190
H2HydrogenProductionexport,191
H2O2Productionexport,192
H2SHS-Productionexport,193
Haemophilus,194
Hallella,195
Helicobacter,196
HemicelluloseMacromoleculedegradation,197
HistamineProductionexport,198
Holdemanella,199
Holdemania,200
Hoylesella,201
HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation,202
Indole-3-acetateIndoleacetateConsumptionimportproductionexport,203
IndoleConsumptionimport,204
IndoleProductionexport,205
InosineConsumptionimport,206
Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport,207
Intestinibacter,208
IsethionateConsumptionimport,209
Isobutyrate2-MethylpropanoicacidConsumptionimport,210
Isobutyrate2-MethylpropanoicacidProductionexport,211
IsomaltoseConsumptionimport,212
Isovalerate3-MethylbutanoicacidConsumptionimport,213
Isovalerate3-MethylbutanoicacidProductionexport,214
Klebsiella,215
L-ArginineArginineConsumptionimport,216
L-AspartateAspartateD-AspartateConsumptionimport,217
L-CysteineCysteineD-CysteineConsumptionimport,218
L-FucoseConsumptionimport,219
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,220
L-GlutamineD-GlutamineGlutamineConsumptionimport,221
L-GlycineGlycineConsumptionimport,222
L-HistidineHistidineConsumptionimport,223
L-IdonateConsumptionimport,224
L-IsoleucineIsoleucineConsumptionimport,225
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,226
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,227
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,228
L-LeucineLeucineConsumptionimport,229
L-LysineLysineD-LysineConsumptionimport,230
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,231
L-MethionineD-MethionineConsumptionimport,232
L-OrnithineOrnithineProductionexport,233
L-PhenylalaninePhenylalanineD-PhenylalanineConsumptionimport,234
L-ProlineProlineD-ProlineConsumptionimport,235
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,236
L-SerineSerineD-SerineConsumptionimport,237
L-ThreonineThreonineConsumptionimport,238
L-ThreonineThreonineProductionexport,239
L-TryptophanTryptophanConsumptionimport,240
L-TyrosineTyrosineConsumptionimport,241
L-ValineValineD-ValineConsumptionimport,242
Lachnoanaerobaculum,243
Lachnoclostridium,244
Lachnospira,245
Lacrimispora,246
Lacticaseibacillus,247
Lactiplantibacillus,248
Lactobacillus,249
Lactococcus,250
LactoseConsumptionimport,251
Lancefieldella,252
Latilactobacillus,253
Lautropia,254
Leptotrichia,255
Leuconostoc,256
Levilactobacillus,257
Ligilactobacillus,258
Limosilactobacillus,259
LinoleicacidOmega-6fattyacidConsumptionimport,260
LinoleicacidOmega-6fattyacidProductionexport,261
LithocholicacidProductionexport,262
Loigolactobacillus,263
