parent,child
gender,18
phenotype,EthanolProductionexport
gender,MethylamineMonomethylamineProductionexport
gender,Faecalitalea
phenotype,D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport
gender,Parasutterella
gender,ThiamineVitaminB1ThiaminConsumptionimport
gender,Catenibacterium
phenotype,Desulfovibrio
phenotype,EthanolaminePhosphatidylethanolamineConsumptionimport
phenotype,TaurodeoxycholateConsumptionimport
phenotype,UridineConsumptionimport
gender,TaurocholateConsumptionimport
phenotype,Bifidobacterium
gender,2-methylbutyrate2-methylbutanoicacidConsumptionimport
phenotype,AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport
phenotype,Parasutterella
gender,GlycochenodeoxycholateConsumptionimport
phenotype,Paraprevotella
gender,MenaquinoneVitaminK2Consumptionimport
gender,2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport
gender,148
phenotype,2-methylbutyrate2-methylbutanoicacidConsumptionimport
gender,EthanolConsumptionimport
phenotype,Enterocloster
phenotype,MenaquinoneVitaminK2Consumptionimport
phenotype,2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport
phenotype,PropanoatePropionateProductionexport
gender,4
gender,ChenodeoxycholicacidChenodeoxycholateProductionexport
gender,13
phenotype,Bacteroides
gender,22
phenotype,Faecalibacterium
phenotype,Granulicatella
gender,ThiamineVitaminB1ThiaminConsumptionimportproductionexport
gender,CO2Consumptionimport
gender,Haemophilus
gender,N-AcetylgalactosamineN-Acetyl-D-galactosamineConsumptionimport
gender,HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation
phenotype,PropanoatePropionateConsumptionimport
gender,L-LeucineLeucineConsumptionimport
phenotype,Lachnoclostridium
gender,ChenodeoxycholicacidChenodeoxycholateConsumptionimport
phenotype,TaurochenodeoxycholateConsumptionimport
phenotype,CelluloseBeta-D-glucanMacromoleculedegradation
gender,PyruvateConsumptionimport
gender,Coprobacter
gender,alpha-LinolenicacidOmega-3fattyacidConsumptionimport
phenotype,Enorma
phenotype,CitrateConsumptionimport
phenotype,FolicacidFolateVitaminB9Consumptionimportproductionexport
gender,ButylamineProductionexport
phenotype,ChenodeoxycholicacidChenodeoxycholateConsumptionimport
gender,Lachnospira
gender,NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport
phenotype,PhenylacetateProductionexport
phenotype,4-Aminobenzoatepara-aminoBenzoicacidConsumptionimport
gender,L-LysineLysineD-LysineConsumptionimport
gender,17
phenotype,D-GalactoseConsumptionimport
gender,OxaloacetateConsumptionimport
phenotype,NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimportproductionexport
gender,Methanosphaera
phenotype,Gemella
phenotype,Gordonibacter
gender,AcetateConsumptionimport
gender,Klebsiella
gender,IsethionateConsumptionimport
gender,XylitolConsumptionimport
phenotype,PhenolConsumptionimport
phenotype,DNARNAPolynucleotideMacromoleculedegradation
phenotype,L-SorboseSorboseConsumptionimport
phenotype,MethanolConsumptionimport
phenotype,Klebsiella
gender,Mitsuokella
phenotype,ThiamineVitaminB1ThiaminProductionexport
phenotype,Propanoln-propanol1-PropanolProductionexport
phenotype,GlycocholateConsumptionimport
gender,3
phenotype,H2SHS-Productionexport
gender,12
phenotype,L-LactateS-LactateLactateD-LactateR-LactateProductionexport
phenotype,MethanolProductionexport
phenotype,LinoleicacidOmega-6fattyacidProductionexport
gender,CadaverineProductionexport
phenotype,Eggerthella
gender,D-GlucuronicacidD-GlucuronateConsumptionimport
phenotype,Propionibacterium
gender,LactoseConsumptionimport
gender,TrehaloseConsumptionimport
phenotype,MenaquinoneVitaminK2Productionexport
phenotype,D-GlucuronicacidD-GlucuronateConsumptionimport
gender,NH3AmmoniaNH4AmmoniumProductionexport
phenotype,TrehaloseConsumptionimport
gender,MucinMucusGlycoproteinMacromoleculedegradation
phenotype,L-ArginineArginineConsumptionimport
gender,CholicacidCholateConsumptionimportproductionexport
gender,Butyrivibrio
gender,D-TagaturonateConsumptionimport
phenotype,NH3AmmoniaNH4AmmoniumProductionexport
gender,Thomasclavelia
phenotype,CholicacidCholateProductionexport
phenotype,MucinMucusGlycoproteinMacromoleculedegradation
gender,Clostridium
gender,BiotinVitaminB7Consumptionimport
gender,SulfateSulfuricacidConsumptionimport
gender,HemicelluloseMacromoleculedegradation
phenotype,TyramineConsumptionimport
phenotype,Dorea
gender,Turicibacter
phenotype,BiotinVitaminB7Consumptionimport
phenotype,SulfateSulfuricacidConsumptionimport
phenotype,Dialister
gender,Leuconostoc
phenotype,16
gender,L-FucoseConsumptionimport
gender,Collinsella
gender,Pseudoflavonifractor
phenotype,Parabacteroides
gender,PentanolProductionexport
phenotype,Collinsella
phenotype,TrimethylamineConsumptionimport
phenotype,Propanoln-propanol1-PropanolConsumptionimport
gender,Isovalerate3-MethylbutanoicacidConsumptionimport
phenotype,PentanolProductionexport
gender,L-SerineSerineD-SerineConsumptionimport
phenotype,LithocholicacidProductionexport
gender,StachyoseConsumptionimport
gender,2
gender,Coprococcus
phenotype,Segatella
phenotype,L-GlutamineD-GlutamineGlutamineConsumptionimport
phenotype,Akkermansia
phenotype,RiboflavinVitaminB2Productionexport
gender,L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport
phenotype,2
phenotype,PectinMacromoleculedegradation
gender,D-LyxoseL-LyxoseConsumptionimport
phenotype,11
phenotype,L-MethionineD-MethionineConsumptionimport
gender,L-ValineValineD-ValineConsumptionimport
phenotype,L-ThreonineThreonineProductionexport
phenotype,LinoleicacidOmega-6fattyacidConsumptionimport
gender,L-RhamnoseRhamnoseD-RhamnoseConsumptionimport
phenotype,D-LyxoseL-LyxoseConsumptionimport
gender,StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation
phenotype,D-TuranoseConsumptionimport
phenotype,L-ArabitolL-ArabinitolD-ArabitolConsumptionimport
gender,SuccinateProductionexport
phenotype,XOSXylooligosaccharideConsumptionimport
gender,SucroseConsumptionimport
phenotype,Barnesiella
phenotype,Mediterraneibacter
gender,FructanInulinLevanMacromoleculedegradation
gender,ButyrateProductionexport
gender,TaurineConsumptionimport
phenotype,Chondroitin4-sulfateChondroitin6-sulfateMacromoleculedegradation
gender,L-AsparagineAsparagineConsumptionimport
phenotype,H2O2Productionexport
gender,FormateProductionexport
gender,ValeratePentanoicacidPentanoateConsumptionimport
gender,ChitinMacromoleculedegradation
phenotype,FormaldehydeProductionexport
phenotype,Schaalia
phenotype,6
gender,CellobioseConsumptionimport
gender,12-EthanediolEthyleneglycolProductionexport
phenotype,Intestinibacter
phenotype,24
phenotype,FormateProductionexport
gender,Methanobrevibacter
gender,ErythritolConsumptionimport
phenotype,PolypeptideMacromoleculedegradation
phenotype,Alistipes
gender,Hungatella
phenotype,ChitinMacromoleculedegradation
phenotype,CellobioseConsumptionimport
phenotype,L-IdonateConsumptionimport
gender,D-GlucoseGlucoseConsumptionimport
phenotype,12-EthanediolEthyleneglycolProductionexport
phenotype,Bilophila
phenotype,InosineConsumptionimport
phenotype,N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport
gender,MethaneCH4Productionexport
gender,Odoribacter
phenotype,RiboflavinVitaminB2Consumptionimport
gender,SpermidineProductionexport
phenotype,NitrateConsumptionimport
gender,FolicacidFolateVitaminB9Productionexport
phenotype,Odoribacter
gender,GlycolithocholateConsumptionimport
phenotype,Phascolarctobacterium
phenotype,1
phenotype,10
phenotype,SpermidineProductionexport
phenotype,L-HistidineHistidineConsumptionimport
phenotype,UreaConsumptionimport
gender,D-RiboseRiboseConsumptionimport
gender,D-FructoseFructoseConsumptionimport
gender,Isobutyrate2-MethylpropanoicacidConsumptionimport
gender,L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport
gender,EthanolProductionexport
gender,PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport
gender,H2HydrogenConsumptionimport
gender,D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport
gender,NH3AmmoniaNH4AmmoniumConsumptionimport
phenotype,Blautia
gender,Desulfovibrio
gender,EthanolaminePhosphatidylethanolamineConsumptionimport
gender,TaurodeoxycholateConsumptionimport
phenotype,PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport
gender,UridineConsumptionimport
phenotype,H2HydrogenConsumptionimport
phenotype,Rothia
gender,Bifidobacterium
phenotype,L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport
phenotype,ButanolConsumptionimport
gender,AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport
phenotype,NH3AmmoniaNH4AmmoniumConsumptionimport
phenotype,D-MannitolMannitolConsumptionimport
phenotype,BenzoateConsumptionimport
phenotype,Enterococcus
gender,H2HydrogenProductionexport
gender,Paraprevotella
gender,L-GlycineGlycineConsumptionimport
phenotype,5
gender,Enterocloster
phenotype,H2HydrogenProductionexport
phenotype,IndoleConsumptionimport
gender,PropanoatePropionateProductionexport
phenotype,L-GlycineGlycineConsumptionimport
