Parent,Index
0,0
1,1
10,2
11,3
12,4
12-EthanediolEthyleneglycolProductionexport,5
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport,6
13,7
13-PropanediolProductionexport,8
14,9
148,10
16,11
17,12
18,13
182,14
19,15
2,16
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport,17
2-methylbutyrate2-methylbutanoicacidConsumptionimport,18
22,19
24,20
3,21
4,22
4-Aminobenzoatepara-aminoBenzoicacidConsumptionimport,23
4-AminobutyrateGABAProductionexport,24
5,25
6,26
60,27
AcetateConsumptionimport,28
AcetateConsumptionimportproductionexport,29
AcetateProductionexport,30
Acidaminococcus,31
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,32
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimportproductionexport,33
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIProductionexport,34
Adlercreutzia,35
Agathobacter,36
Akkermansia,37
AlginateMacromoleculedegradation,38
Alistipes,39
Anaerobutyricum,40
Anaerostipes,41
Anaerotruncus,42
ArabinogalactanMacromoleculedegradation,43
Bacteroides,44
Barnesiella,45
BenzoateConsumptionimport,46
BetaineGlycinebetaineConsumptionimport,47
BicarbonateHCO3-H2CO3CarbonicacidCarbonateConsumptionimport,48
Bifidobacterium,49
Bilophila,50
BiotinVitaminB7Consumptionimport,51
BiotinVitaminB7Productionexport,52
Blautia,53
ButanolConsumptionimport,54
ButylamineProductionexport,55
ButyrateConsumptionimport,56
ButyrateProductionexport,57
Butyrivibrio,58
CO2Consumptionimport,59
CO2Consumptionimportproductionexport,60
CO2Productionexport,61
CadaverineProductionexport,62
Catenibacterium,63
CellobioseConsumptionimport,64
CelluloseBeta-D-glucanMacromoleculedegradation,65
ChenodeoxycholicacidChenodeoxycholateConsumptionimport,66
ChenodeoxycholicacidChenodeoxycholateConsumptionimportproductionexport,67
ChenodeoxycholicacidChenodeoxycholateProductionexport,68
ChitinMacromoleculedegradation,69
CholicacidCholateConsumptionimport,70
CholicacidCholateConsumptionimportproductionexport,71
CholicacidCholateProductionexport,72
CholineConsumptionimport,73
Chondroitin4-sulfateChondroitin6-sulfateMacromoleculedegradation,74
CitrateConsumptionimport,75
Clostridium,76
Collinsella,77
Coprobacter,78
Coprococcus,79
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,80
D-FructoseFructoseConsumptionimport,81
D-FructuronateConsumptionimport,82
D-GalactosamineGalactosamineConsumptionimport,83
D-GalactoseConsumptionimport,84
D-GalacturonateConsumptionimport,85
D-GluconateD-GluconicacidGluconateConsumptionimport,86
D-GlucosamineGlucosamineConsumptionimport,87
D-GlucoseGlucoseConsumptionimport,88
D-GlucuronicacidD-GlucuronateConsumptionimport,89
D-LyxoseL-LyxoseConsumptionimport,90
D-MannitolMannitolConsumptionimport,91
D-MannoseMannoseConsumptionimport,92
D-PsicoseConsumptionimport,93
D-RiboseRiboseConsumptionimport,94
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,95
D-TagaturonateConsumptionimport,96
D-TuranoseConsumptionimport,97
D-XyloseXyloseConsumptionimport,98
DNARNAPolynucleotideMacromoleculedegradation,99
DeoxycholicacidProductionexport,100
Desulfovibrio,101
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,102
Dialister,103
DimethylamineConsumptionimport,104
DimethylamineProductionexport,105
Dorea,106
Eggerthella,107
Enorma,108
Enterocloster,109
Enterococcus,110
ErythritolConsumptionimport,111
Escherichia,112
EthanolConsumptionimport,113
EthanolProductionexport,114
EthanolaminePhosphatidylethanolamineConsumptionimport,115
Eubacterium,116
FOSFructooligosaccharideConsumptionimport,117
Faecalibacterium,118
Faecalitalea,119
Flavonifractor,120
FolicacidFolateVitaminB9Consumptionimport,121
FolicacidFolateVitaminB9Consumptionimportproductionexport,122
FolicacidFolateVitaminB9Productionexport,123
FormaldehydeProductionexport,124
FormateConsumptionimport,125
FormateProductionexport,126
FructanInulinLevanMacromoleculedegradation,127
Fusobacterium,128
GalactanMacromoleculedegradation,129
Gemella,130
GlycerolConsumptionimport,131
GlycochenodeoxycholateConsumptionimport,132
GlycocholateConsumptionimport,133
GlycodeoxycholateConsumptionimport,134
GlycolithocholateConsumptionimport,135
Gordonibacter,136
Granulicatella,137
H2HydrogenConsumptionimport,138
H2HydrogenProductionexport,139
H2O2Productionexport,140
H2SHS-Productionexport,141
Haemophilus,142
HemicelluloseMacromoleculedegradation,143
Holdemanella,144
Holdemania,145
Hungatella,146
HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation,147
Indole-3-acetateIndoleacetateConsumptionimportproductionexport,148
IndoleConsumptionimport,149
IndoleProductionexport,150
InosineConsumptionimport,151
Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport,152
Intestinibacter,153
IsethionateConsumptionimport,154
Isobutyrate2-MethylpropanoicacidConsumptionimport,155
Isobutyrate2-MethylpropanoicacidProductionexport,156
IsomaltoseConsumptionimport,157
Isovalerate3-MethylbutanoicacidConsumptionimport,158
Isovalerate3-MethylbutanoicacidProductionexport,159
Klebsiella,160
L-ArabitolL-ArabinitolD-ArabitolConsumptionimport,161
L-ArginineArginineConsumptionimport,162
L-AsparagineAsparagineConsumptionimport,163
L-AspartateAspartateD-AspartateConsumptionimport,164
L-CysteineCysteineD-CysteineConsumptionimport,165
L-FucoseConsumptionimport,166
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,167
L-GlutamineD-GlutamineGlutamineConsumptionimport,168
L-GlycineGlycineConsumptionimport,169
L-HistidineHistidineConsumptionimport,170
L-IdonateConsumptionimport,171
L-IsoleucineIsoleucineConsumptionimport,172
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,173
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,174
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,175
L-LeucineLeucineConsumptionimport,176
L-LysineLysineD-LysineConsumptionimport,177
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,178
L-MethionineD-MethionineConsumptionimport,179
L-PhenylalaninePhenylalanineD-PhenylalanineConsumptionimport,180
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,181
L-SerineSerineD-SerineConsumptionimport,182
L-SorboseSorboseConsumptionimport,183
L-ThreonineThreonineConsumptionimport,184
L-ThreonineThreonineProductionexport,185
L-TryptophanTryptophanConsumptionimport,186
L-TyrosineTyrosineConsumptionimport,187
L-ValineValineD-ValineConsumptionimport,188
Lachnoclostridium,189
Lachnospira,190
Lacticaseibacillus,191
Lactobacillus,192
Lactococcus,193
LactoseConsumptionimport,194
Lancefieldella,195
Leuconostoc,196
Leyella,197
LinoleicacidOmega-6fattyacidConsumptionimport,198
LinoleicacidOmega-6fattyacidProductionexport,199
LithocholicacidProductionexport,200
MaltoseConsumptionimport,201
Mediterraneibacter,202
MelibioseConsumptionimport,203
MenaquinoneVitaminK2Consumptionimport,204
MenaquinoneVitaminK2Productionexport,205
MethaneCH4Productionexport,206
Methanobrevibacter,207
MethanolConsumptionimport,208
MethanolProductionexport,209
Methanosphaera,210
MethylamineMonomethylamineConsumptionimport,211
MethylamineMonomethylamineProductionexport,212
Mitsuokella,213
MucinMucusGlycoproteinMacromoleculedegradation,214
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,215
N-Acetyl-D-mannosamineConsumptionimport,216
N-AcetylgalactosamineN-Acetyl-D-galactosamineConsumptionimport,217
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,218
N2Consumptionimport,219
NH3AmmoniaNH4AmmoniumConsumptionimport,220
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,221
NH3AmmoniaNH4AmmoniumProductionexport,222
NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimport,223
NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimportproductionexport,224
NitrateConsumptionimport,225
Odoribacter,226
OxaloacetateConsumptionimport,227
PantothenicacidVitaminB5PantothenateConsumptionimport,228
Parabacteroides,229
Paraprevotella,230
