Feature,MannWhitneyU_Statistic,P-value
562,137067.5,0.6131961222454887
573,133690.0,0.5933081475581512
729,132349.5,0.5107619709391387
817,115976.0,3.74841392994872e-05
818,141862.0,0.13692130761067461
820,135002.0,0.9491932524452483
821,128822.5,0.2268120463862986
823,144530.0,0.04131965757685902
851,133816.0,0.7061524468532223
853,159045.5,5.337966593094938e-07
876,138028.5,0.1851781275321439
901,144118.0,0.0019145091806203223
905,136512.5,0.46976576916418755
907,131731.0,0.16415834082572645
1245,133856.0,0.6442421405743526
1264,133303.0,0.5637842162729336
1302,130726.5,0.14238685225012954
1304,119764.0,0.0011666597057555272
1305,128529.5,0.03977772565439833
1308,128058.5,0.14126976029474622
1309,127976.0,0.0014911558660108824
1318,121072.5,0.0015204289643984516
1328,130854.0,0.24795692674558334
1343,130770.0,0.19667375340207693
1351,142920.0,0.006466695478956719
1352,129943.0,0.08110036025951403
1358,125402.0,0.010670207817551973
1382,130307.0,0.031893560119131636
1502,138113.5,0.07048864954607946
1512,138424.5,0.29693395255520005
1522,135853.5,0.6113965193201032
1531,132084.5,0.3347797593703459
1535,128720.5,0.16391956489302484
1547,131547.0,0.23061496861734054
1582,142243.0,0.004738164927181554
1584,129064.5,0.0034312028723154013
1596,133918.5,0.7164150047315943
1660,130947.5,0.10132517328428901
1680,136208.5,0.7394454463006681
1681,119642.0,7.5480416141527285e-06
1686,121258.0,2.9901531077223146e-05
1689,135181.0,0.8454992883334739
1735,143033.0,0.022656821951775537
1736,134864.5,0.9363919006795549
1744,137405.5,0.13011554011550006
2173,140628.0,0.1678418585853424
2317,133936.0,0.7075830844674846
28025,133372.0,0.6561926717053481
28026,133423.0,0.703665330960359
28037,134367.5,0.9049240354350583
28111,144610.0,0.009733101729287593
28116,127813.0,0.1543830912945564
28117,124345.0,0.031728448601717765
28118,135060.5,0.9252913830942276
28123,134419.0,0.9196942740420003
29361,142822.5,0.002269949170333943
29391,130681.5,0.10186549035845215
29466,132163.0,0.4783878612860246
33033,139432.5,0.07513376811039627
33035,127643.5,0.00019420929475640481
33038,131253.5,0.42761863903515107
33039,125257.0,0.05197327585914634
35833,129751.0,0.2306172573011379
39483,129313.5,0.08123770160564904
39485,134452.0,0.9602496087776748
39486,132652.5,0.6729141891071075
39488,116753.5,0.00020279031524096745
39490,121883.5,0.006355039425634135
39491,143920.0,0.05705442095641582
39492,146997.0,0.007890442249807596
39496,129321.5,0.23894182356953964
39777,137869.0,0.18236486052453238
39778,135904.5,0.5350706401056551
40518,122070.0,0.008919781156718633
40519,133476.0,0.7613535616156571
