Species,SHAP_Value
39488,9.869487007903194e-10
457421,5.838831258392643e-10
410072,4.628789218975754e-10
40520,4.108278493152344e-10
39486,4.0188212250027954e-10
1322,3.199281334839317e-10
39496,2.5094606243764633e-10
29347,1.6718273019227296e-10
638849,1.2640406582429516e-10
88431,5.206360621022718e-12
1535,-2.050753117578406e-11
817,-9.293653689189101e-11
853,-1.5806556535493534e-10
301301,-2.0591651858136362e-10
39491,-3.3213213483043523e-10
1683,-3.534207051533042e-10
657323,-3.7276832920798744e-10
908340,-4.222468079822782e-10
261299,-4.4348859958643606e-10
218538,-5.371652028115967e-10
360807,-5.570709117233915e-10
