Feature,SpearmanR,P-value
562,0.017077116055305996,0.5804394143773199
573,0.08388557237945474,0.006532925049291507
729,-0.03285487944661101,0.2874923492876492
817,-0.012712066732531793,0.6807469828905679
818,0.02098547216553468,0.49696563341440303
820,-0.027827103839507813,0.3676938080438854
821,-0.001368221254417052,0.9646791035113034
823,-0.1286783273652423,2.88847464821274e-05
851,0.06534850733678056,0.03423653070258536
853,0.03656258125018927,0.2365129755663428
876,0.0022772691008463852,0.9412457945115847
901,-0.04985022668020528,0.10643816095820244
905,0.05306253940338642,0.08568986335469414
907,0.08944039991723447,0.003724930114244141
1245,-0.05020162743265285,0.10399089011343614
1264,-0.024116814061381903,0.43500437771934564
1302,0.06860043966819071,0.02622392155989199
1304,0.0707897511509876,0.021790717674550503
1305,-0.09770393868405003,0.0015255182578317386
1308,0.017817756994146904,0.5641290358290705
1309,0.02888447993143301,0.3497654376239675
1318,0.12232358145319591,7.06910220959321e-05
1328,0.04287067161484318,0.16509074518631872
1343,0.06326840025471951,0.040389584891382134
1351,-0.08262117877914402,0.007392535547089759
1352,-0.05412591024843724,0.07958896077324724
1358,0.020383916103689597,0.5093846437139382
1382,-0.0015110338448350137,0.9609951641970595
1502,0.037863575750348995,0.22023696437056195
1512,0.03345931360556861,0.2787118742595457
1522,-0.057874203025358506,0.0608372861632875
1531,-0.018153537865600828,0.5568077898590342
1535,-0.0524417854795401,0.08942234342814015
1547,-0.05025751505563864,0.10360581779660008
1582,-0.0929047546342647,0.0025834530844656657
1584,-0.025015822185262104,0.41807440760996106
1596,0.14084684891533175,4.61919564729522e-06
1660,-0.016294262709559346,0.597915454590879
1680,-0.10272968056888782,0.0008570507786682672
1681,-0.079381719618359,0.010074565853777001
1686,-0.1829174832467013,2.3640247206373085e-09
1689,0.03959508968356275,0.19984193192919641
1735,-0.06375455392802686,0.03887340038837253
1736,-0.04058245900283904,0.18884723789738425
1744,0.006351999516226095,0.837114927699907
2173,-0.12912947319593687,2.706273723465023e-05
2317,-0.12036780906354211,9.231881563691073e-05
28025,0.06244932217012242,0.04305728264683514
28026,-0.01005609586528459,0.7448217193763829
28037,0.09999991453431475,0.0011759757718336542
28111,-0.025389379239118576,0.41115518841555143
28116,-0.023011648477467363,0.4563484466776968
28117,-0.020601444628020153,0.5048751579413082
28118,-0.06405775932997636,0.0379524470528491
28123,0.11229658614516669,0.000266323894574032
29361,-0.00334399638725296,0.9138139606184295
29391,0.04871692693845239,0.1146425137632628
29466,-0.011341808120779617,0.7135514129415415
33033,0.07386411691808287,0.01667071606131512
33035,-0.059795820402068454,0.05274148969490923
33038,0.13860505645923998,6.552127673744838e-06
33039,-0.10137295139141111,0.0010039286692332008
35833,0.025908946376765617,0.40164520271980275
39483,-0.06563977372812153,0.033442345912469085
39485,-0.20120793287129907,4.719766830565991e-11
39486,-0.08354316566585121,0.006756374247173822
39488,-0.16417371327041694,8.803264952309278e-08
39490,-0.019324797910965,0.531637993255101
39491,-0.0637383620998811,0.0389231099785351
39492,-0.08502007934774145,0.005839209594782029
39496,-0.05324588380788572,0.08461182455664429
39777,0.037189952705241766,0.22856124178749235
